comm_round: 30 | global_acc: 38.900% | global_loss: 2.078176736831665
comm_round: 31 | global_acc: 40.200% | global_loss: 2.0668368339538574
comm_round: 31 | global_acc: 38.000% | global_loss: 2.0857934951782227
comm_round: 31 | global_acc: 39.000% | global_loss: 2.0759308338165283
comm_round: 32 | global_acc: 30.200% | global_loss: 2.1668612957000732
comm_round: 32 | global_acc: 33.000% | global_loss: 2.159247398376465
comm_round: 32 | global_acc: 30.300% | global_loss: 2.16766357421875
comm_round: 33 | global_acc: 38.700% | global_loss: 2.073301315307617
comm_round: 33 | global_acc: 35.400% | global_loss: 2.1065146923065186
comm_round: 33 | global_acc: 39.000% | global_loss: 2.0801284313201904
comm_round: 34 | global_acc: 41.500% | global_loss: 2.0692567825317383
comm_round: 34 | global_acc: 38.000% | global_loss: 2.089038848876953
comm_round: 34 | global_acc: 39.400% | global_loss: 2.079131603240967
comm_round: 35 | global_acc: 40.000% | global_loss: 2.0591816902160645
comm_round: 35 | global_acc: 37.100% | global_loss: 2.0891566276550293
comm_round: 35 | global_acc: 39.400% | global_loss: 2.0689029693603516
comm_round: 36 | global_acc: 39.500% | global_loss: 2.060305118560791
comm_round: 36 | global_acc: 37.500% | global_loss: 2.084224224090576
comm_round: 36 | global_acc: 38.900% | global_loss: 2.069413900375366
comm_round: 37 | global_acc: 40.200% | global_loss: 2.0571022033691406
comm_round: 37 | global_acc: 37.600% | global_loss: 2.0846071243286133
comm_round: 37 | global_acc: 39.000% | global_loss: 2.0672340393066406
comm_round: 38 | global_acc: 40.700% | global_loss: 2.056643486022949
comm_round: 38 | global_acc: 37.300% | global_loss: 2.083526849746704
comm_round: 38 | global_acc: 39.000% | global_loss: 2.067250967025757
comm_round: 39 | global_acc: 40.400% | global_loss: 2.0554563999176025
comm_round: 39 | global_acc: 37.800% | global_loss: 2.082979440689087
comm_round: 39 | global_acc: 38.600% | global_loss: 2.0664443969726562
comm_round: 40 | global_acc: 40.800% | global_loss: 2.055117607116699
comm_round: 40 | global_acc: 37.600% | global_loss: 2.08290958404541
comm_round: 40 | global_acc: 38.400% | global_loss: 2.0661935806274414
comm_round: 41 | global_acc: 40.700% | global_loss: 2.054625988006592
comm_round: 41 | global_acc: 37.700% | global_loss: 2.082659959793091
comm_round: 41 | global_acc: 38.400% | global_loss: 2.0658023357391357
comm_round: 42 | global_acc: 40.800% | global_loss: 2.054293632507324
comm_round: 42 | global_acc: 37.700% | global_loss: 2.0824406147003174
comm_round: 42 | global_acc: 38.500% | global_loss: 2.06561279296875
comm_round: 43 | global_acc: 40.800% | global_loss: 2.0539395809173584
comm_round: 43 | global_acc: 37.800% | global_loss: 2.0823230743408203
comm_round: 43 | global_acc: 38.400% | global_loss: 2.0653843879699707
comm_round: 44 | global_acc: 40.800% | global_loss: 2.053687810897827
comm_round: 44 | global_acc: 37.800% | global_loss: 2.0821831226348877
comm_round: 44 | global_acc: 38.500% | global_loss: 2.065234661102295
comm_round: 45 | global_acc: 40.900% | global_loss: 2.053400993347168
comm_round: 45 | global_acc: 37.900% | global_loss: 2.082061529159546
comm_round: 45 | global_acc: 38.500% | global_loss: 2.0651211738586426
comm_round: 46 | global_acc: 40.900% | global_loss: 2.0532095432281494
comm_round: 46 | global_acc: 37.600% | global_loss: 2.0819547176361084
comm_round: 46 | global_acc: 38.700% | global_loss: 2.0650510787963867
comm_round: 47 | global_acc: 40.800% | global_loss: 2.0529236793518066
comm_round: 47 | global_acc: 37.500% | global_loss: 2.0818936824798584
comm_round: 47 | global_acc: 38.700% | global_loss: 2.065011739730835
comm_round: 48 | global_acc: 40.700% | global_loss: 2.0527117252349854
comm_round: 48 | global_acc: 37.500% | global_loss: 2.0818734169006348
comm_round: 48 | global_acc: 38.600% | global_loss: 2.064974308013916
